"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1799.54473204765
"FDW14","OUT017",1549.13101816769
"NCN55","OUT010",633.764198947544
"FDQ58","OUT017",2079.60712130073
"FDY38","OUT027",5585.09781014992
"FDH56","OUT046",2068.84692348768
"FDL48","OUT018",811.407194011155
"FDC48","OUT027",2180.17717603934
"FDN33","OUT045",1444.53795467617
"FDA36","OUT017",2805.68101006116
"FDT44","OUT017",1822.47304748346
"FDQ56","OUT045",1470.40039790435
"NCC54","OUT019",669.509025754763
"FDU11","OUT049",2085.37156190451
"DRL59","OUT013",902.474625859055
"FDM24","OUT049",2685.43600842732
"FDI57","OUT045",3650.56406846076
"DRC12","OUT018",3106.47653417101
"NCM42","OUT027",2773.61484705581
"FDA46","OUT010",478.679980998777
"FDA31","OUT013",3070.91291585433
"NCJ31","OUT035",3360.32683060977
"FDG52","OUT046",890.440863680233
"NCL19","OUT019",286.333161324701
"FDS10","OUT035",3278.31826212069
"FDX22","OUT010",512.448261330795
"NCF19","OUT035",777.206743397439
"NCE06","OUT046",2658.11588595167
"DRC27","OUT046",3582.86755417522
"FDE21","OUT035",2381.59284879428
"NCR42","OUT019",125.055802871683
"FDX51","OUT018",2634.24400535604
"NCR06","OUT018",777.210550610936
"FDU31","OUT027",5506.32807208667
"FDU59","OUT017",2243.09478456545
"FDR03","OUT027",5449.54940899925
"FDS49","OUT027",2538.94672906148
"FDD48","OUT010",213.730061340109
"NCF18","OUT017",3016.32225435174
"NCD43","OUT027",2654.50063572206
"NCD54","OUT018",1985.61386370215
"FDY19","OUT010",259.289385392739
"NCY54","OUT017",2529.18816577739
"NCL19","OUT018",2068.27541339437
"FDP23","OUT010",550.275194859165
"FDC26","OUT013",1981.2785855533
"FDR14","OUT010",183.264735836282
"NCS41","OUT035",3143.50047241347
"FDF41","OUT035",3983.02716303981
"FDU34","OUT046",2030.59400525772
"DRH11","OUT046",975.970320745295
"FDM03","OUT013",2050.64441641392
"FDS31","OUT017",3163.49975976539
"FDJ20","OUT017",2103.85796340629
"FDV44","OUT027",5104.48825496183
"FDG02","OUT049",2866.08796077159
"FDA09","OUT013",3650.46158510677
"FDT04","OUT013",698.596169595026
"FDL58","OUT019",591.668331527451
"FDE52","OUT045",1323.01583028638
"FDW12","OUT035",2693.47020083679
"FDL51","OUT017",3413.5772791613
"NCY42","OUT027",2997.37337836672
"FDR07","OUT017",1883.24283419307
"FDN40","OUT045",2251.96827942455
