"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1790.56995442471
"FDW14","OUT017",1502.5257813326
"NCN55","OUT010",628.374343756978
"FDQ58","OUT017",2010.2979261381
"FDY38","OUT027",5582.8283964298
"FDH56","OUT046",1992.25126210823
"FDL48","OUT018",840.42840944253
"FDC48","OUT027",2170.91770178719
"FDN33","OUT045",1430.76161817499
"FDA36","OUT017",2855.55004090953
"FDT44","OUT017",1816.25341082029
"FDQ56","OUT045",1459.3436158566
"NCC54","OUT019",684.698995582242
"FDU11","OUT049",2081.32914349324
"DRL59","OUT013",874.900498443265
"FDM24","OUT049",2630.85857666918
"FDI57","OUT045",3619.32954583026
"DRC12","OUT018",3171.71265300549
"NCM42","OUT027",2714.8301216792
"FDA46","OUT010",489.473330212812
"FDA31","OUT013",3023.68048915179
"NCJ31","OUT035",3574.37844600139
"FDG52","OUT046",879.136267983638
"NCL19","OUT019",287.823413437315
"FDS10","OUT035",3202.08971257042
"FDX22","OUT010",494.910696776882
"NCF19","OUT035",811.414229224909
"NCE06","OUT046",2542.77258353163
"DRC27","OUT046",3452.92808295253
"FDE21","OUT035",2360.37436297048
"NCR42","OUT019",125.281060979769
"FDX51","OUT018",2705.40459266706
"NCR06","OUT018",760.744761374533
"FDU31","OUT027",5479.70668152715
"FDU59","OUT017",2288.44546467564
"FDR03","OUT027",5474.92287177346
"FDS49","OUT027",2566.32817789968
"FDD48","OUT010",217.110641864834
"NCF18","OUT017",3085.65605344313
"NCD43","OUT027",2626.9145780034
"NCD54","OUT018",1958.97174364605
"FDY19","OUT010",259.082481467255
"NCY54","OUT017",2495.43701866963
"NCL19","OUT018",2077.92531051841
"FDP23","OUT010",563.431909046935
"FDC26","OUT013",1979.06070312854
"FDR14","OUT010",187.47976278471
"NCS41","OUT035",3046.17812527625
"FDF41","OUT035",4081.72334445773
"FDU34","OUT046",2034.04438278532
"DRH11","OUT046",948.57200594314
"FDM03","OUT013",2005.86876811954
"FDS31","OUT017",3251.97534712122
"FDJ20","OUT017",2112.83613313819
"FDV44","OUT027",5134.82592684177
"FDG02","OUT049",2832.00151751377
"FDA09","OUT013",3730.32969002738
"FDT04","OUT013",715.659041715609
"FDL58","OUT019",588.889224044823
"FDE52","OUT045",1284.52899030478
"FDW12","OUT035",2716.85700520018
"FDL51","OUT017",3392.93972138145
"NCY42","OUT027",2977.04816100342
"FDR07","OUT017",1913.63347641972
"FDN40","OUT045",2321.63088310601
"FDB35","OUT027",2540.10585261789
"FDA22","OUT017",2822.51780738475
"NCL06","OUT046",3697.80878399043
"FDI35","OUT013",3223.19063972884
"NCW42","OUT045",3487.97192963641
"NCX06","OUT049",3401.3578556206
"FDC37","OUT027",2646.22247719836
"FDZ14","OUT018",1726.38715742827
"DRG49","OUT049",4445.55146068718
"NCG06","OUT045",3720.99903222889
"DRC36","OUT045",2798.80884557006
"FDV21","OUT019",377.239967275531
"FDB53","OUT046",3043.34691821403
"DRP47","OUT019",583.18290566493
"FDA14","OUT013",2234.15342030092
"DRC24","OUT035",2814.78873273001
"FDW21","OUT018",1455.87242084024
"NCH29","OUT046",1998.86673968328
"FDU58","OUT013",3046.04855953173
"FDY27","OUT017",2353.60050878391
"FDV56","OUT035",1896.13475658251
"FDT59","OUT046",3946.95033404734
"FDB23","OUT046",3603.8487881787
"FDR49","OUT045",886.038983306214
"FDB03","OUT010",613.748907963806
"FDN39","OUT045",2710.47864040006
"FDX02","OUT027",5443.69912304443
"FDQ16","OUT027",2727.77366911242
"FDU35","OUT018",1576.75199564287
"NCT29","OUT013",1767.66570949349
"FDZ27","OUT046",827.631199326585
"FDN57","OUT017",2288.64202194106
"FDA03","OUT018",2055.49462562904
"FDZ36","OUT045",3186.05531487949
"NCU05","OUT013",1242.10785495007
"FDT39","OUT018",2212.22802849968
"FDK60","OUT017",1713.8506662377
"FDZ25","OUT017",3110.93130678333
"FDG12","OUT046",2311.23416366466
"DRB01","OUT019",546.074787811547
"NCC43","OUT027",5593.05078112738
"FDX13","OUT019",595.185944239821
"FDM22","OUT049",968.788711983304
"FDJ03","OUT027",1920.42706412924
"FDU14","OUT018",3852.61290567982
"FDB33","OUT010",409.545359726396
"FDP27","OUT046",3310.01526183553
"FDO38","OUT010",192.552395675601
"FDE28","OUT027",5675.90556499459
"FDO27","OUT035",1673.95109385839
"DRL23","OUT027",2637.96973543602
"FDS28","OUT046",931.446070573122
"FDX24","OUT013",1255.19982268126
"FDZ02","OUT035",1362.06691865564
"FDL46","OUT045",1624.59078019328
"FDS60","OUT027",4809.94703308694
"NCO06","OUT017",644.215251145254
"FDO16","OUT035",1634.47605427944
"FDC60","OUT049",1564.8917000818
"FDA48","OUT018",3389.88376771749
"FDZ36","OUT027",4264.00220845476
"FDK27","OUT045",1836.38033394521
"FDW23","OUT018",808.290713557856
"FDM14","OUT018",1508.42670490361
"FDM14","OUT013",1658.1476252409
"FDW60","OUT018",2581.7627972843
"FDE21","OUT013",1869.45704761399
"NCM42","OUT035",1930.56256785958
"FDY59","OUT010",189.991180767625
"DRI49","OUT049",1418.2994808088
"FDT28","OUT019",283.667495449708
"FDQ22","OUT018",740.358112298905
"FDR60","OUT049",1289.33805130953
"FDC50","OUT019",303.905524885208
"FDV24","OUT013",2557.00515101451
"DRF48","OUT010",582.022009177779
"FDQ47","OUT046",931.650958344626
"DRN36","OUT049",1664.43936565855
"NCY06","OUT035",2136.56474822588
"FDE52","OUT035",1440.06645842293
"NCB54","OUT045",1636.64610138145
"NCF31","OUT035",2530.87901927273
"FDJ08","OUT027",5164.89869609648
"NCC07","OUT017",1787.97959775354
"NCD19","OUT027",1965.33931985777
"FDL46","OUT049",1862.05820813286
"FDM20","OUT045",4117.37492419649
"NCI06","OUT010",432.349894118432
"DRM11","OUT035",4069.83048159269
"NCH07","OUT018",2298.28616626045
"FDS23","OUT013",1964.69264247946
"FDO49","OUT018",798.287074905138
"FDS35","OUT049",1079.93913345374
"DRK39","OUT045",1328.22192253992
"DRI39","OUT049",926.762009937785
"FDV04","OUT017",1919.61323398914
"NCN14","OUT035",2776.68807382724
"FDH08","OUT013",3822.07990795649
"FDS20","OUT046",2875.85928601666
"FDV40","OUT049",1105.57612771824
"FDZ48","OUT010",213.462411314245
"FDS24","OUT027",2669.91893552363
"FDK44","OUT049",2663.08551277544
"FDS48","OUT045",2378.32179514334
"FDK26","OUT010",597.992123103534
"FDD23","OUT045",3090.4322367743
"NCH54","OUT017",2784.31068172144
"NCP14","OUT010",240.307525069154
"FDM60","OUT010",138.602331638686
"FDV24","OUT017",2396.70660226042
"FDH08","OUT018",3225.65202264041
"FDS12","OUT027",3143.87652158039
"FDR39","OUT027",5036.75522145665
"FDP12","OUT027",1645.15730924735
"DRF60","OUT027",5132.0522843229
"FDC09","OUT035",1848.66904135947
"FDF50","OUT018",2932.37605246856
"FDG28","OUT035",3784.55956269209
"NCE19","OUT017",890.540286005729
"NCM53","OUT010",297.204631336522
"NCN18","OUT049",1664.42298180739
"FDF32","OUT035",3268.39942209811
"FDF11","OUT013",3424.50230788725
"DRI59","OUT049",3947.77836589971
"NCG54","OUT035",3070.08319796214
"FDM44","OUT046",1521.96624020324
"FDT57","OUT018",2536.39880403446
"FDV24","OUT046",2620.79466139398
"FDI50","OUT019",584.285323522856
"FDS09","OUT035",952.587984187633
"NCC31","OUT027",3975.24421961622
"FDQ07","OUT019",465.938016549333
"FDC22","OUT017",3053.10338521505
"FDZ56","OUT046",2525.94747111675
"FDZ40","OUT019",156.028067556991
"FDS46","OUT027",2882.15421483186
"DRD24","OUT045",1740.75070648629
"FDV45","OUT017",3237.1900300498
"FDL26","OUT045",2922.15449352958
"FDA56","OUT018",1516.65231140329
"FDN27","OUT046",1734.71089104444
"FDM20","OUT049",4132.07551306889
"FDO16","OUT017",1709.10226239288
"FDL03","OUT035",3217.2737819393
"FDE58","OUT046",2012.79553456991
"FDI02","OUT027",2899.35379452237
"NCC55","OUT019",156.841689510496
"FDR03","OUT018",3009.67467802763
"FDB14","OUT017",1660.15612072652
"FDR45","OUT013",3668.30781255754
"NCN07","OUT017",1948.91332601705
"FDM51","OUT019",273.993472303584
"FDT52","OUT027",5839.12758294821
"FDL26","OUT046",2654.06111139778
"NCZ42","OUT046",3039.34708763541
"DRI47","OUT019",400.681045897034
"FDW40","OUT013",2205.78010339607
"FDN34","OUT046",3295.49421617509
"FDS01","OUT035",3403.51465755184
"NCG55","OUT045",1629.53866695218
"FDC11","OUT035",1486.97524838078
"FDX35","OUT018",3019.95174083465
"NCB06","OUT046",2409.83627327323
"FDR09","OUT019",504.301105611318
"FDC53","OUT017",1626.08011208838
"FDY45","OUT013",4020.77271360361
"FDA22","OUT010",445.036567394007
"FDE02","OUT035",1816.38106855237
"FDW21","OUT045",1675.60307278042
"FDV34","OUT046",1334.72086260071
"FDS59","OUT049",2102.00236239189
"NCW17","OUT017",2503.11993589229
"NCK54","OUT046",1865.35635427692
"FDG17","OUT019",537.741451220042
"FDG35","OUT017",3582.0954522034
"FDD08","OUT010",142.139457661667
"NCO07","OUT017",3809.23335795888
