"","x"
"1",185971
"2",186112
"3",186220
"4",186312
"5",186392
"6",186465
"7",186531
"8",186594
"9",186652
"10",186707
"11",186760
"12",186810
"13",186858
"14",186904
"15",186949
"16",186992
"17",187034
"18",187075
"19",187114
"20",187153
"21",187190
"22",187227
"23",187263
"24",187298
"25",187333
"26",187366
"27",187399
"28",187432
"29",187464
"30",187495
"31",187526
"32",187556
"33",187586
"34",187615
"35",187644
"36",187673
"37",187701
"38",187729
"39",187756
"40",187783
"41",187810
"42",187836
"43",187863
"44",187888
"45",187914
"46",187939
"47",187964
"48",187989
"49",188013
"50",188037
"51",188061
"52",188085
"53",188108
"54",188132
"55",188155
"56",188178
"57",188200
"58",188223
"59",188245
"60",188267
"61",188289
"62",188311
"63",188332
"64",188353
"65",188375
"66",188396
"67",188417
"68",188437
"69",188458
"70",188478
"71",188498
"72",188519
"73",188539
"74",188558
"75",188578
"76",188598
"77",188617
"78",188636
"79",188656
"80",188675
"81",188694
"82",188713
"83",188731
"84",188750
"85",188768
"86",188787
"87",188805
"88",188823
"89",188841
"90",188859
"91",1204
"92",1205
"93",1206
"94",1206
"95",1207
"96",1207
"97",1208
"98",1208
"99",1208
"100",1209
"101",1209
"102",1209
"103",1210
"104",1210
"105",1210
"106",1211
"107",1211
"108",1211
"109",1211
"110",1212
"111",1212
"112",1212
"113",1212
"114",1212
"115",1213
"116",1213
"117",1213
"118",1213
"119",1213
"120",1214
"121",1214
"122",1214
"123",1214
"124",1214
"125",1215
"126",1215
"127",1215
"128",1215
"129",1215
"130",1215
"131",1216
"132",1216
"133",1216
"134",1216
"135",1216
"136",1216
"137",1217
"138",1217
"139",1217
"140",1217
"141",1217
"142",1217
"143",1218
"144",1218
"145",1218
"146",1218
"147",1218
"148",1218
"149",1218
"150",1219
"151",1219
"152",1219
"153",1219
"154",1219
"155",1219
"156",1219
"157",1219
"158",1220
"159",1220
"160",1220
"161",1220
"162",1220
"163",1220
"164",1220
"165",1220
"166",1221
"167",1221
"168",1221
"169",1221
"170",1221
"171",1221
"172",1221
"173",1221
"174",1222
"175",1222
"176",1222
"177",1222
"178",1222
"179",1222
"180",1222
"181",1222
"182",118
"183",118
"184",118
"185",118
"186",119
"187",119
"188",119
"189",119
"190",119
"191",119
"192",119
"193",119
"194",120
"195",120
"196",120
"197",120
"198",120
"199",120
"200",120
"201",120
"202",120
"203",120
"204",120
"205",120
"206",120
"207",121
"208",121
"209",121
"210",121
"211",121
"212",121
"213",121
"214",121
"215",121
"216",121
"217",121
"218",121
"219",121
"220",121
"221",121
"222",121
"223",122
"224",122
"225",122
"226",122
"227",122
"228",122
"229",122
"230",122
"231",122
"232",122
"233",122
"234",122
"235",122
"236",122
"237",122
"238",122
"239",122
"240",122
"241",122
"242",122
"243",122
"244",123
"245",123
"246",123
"247",123
"248",123
"249",123
"250",123
"251",123
"252",123
"253",123
"254",123
"255",123
"256",123
"257",123
"258",123
"259",123
"260",123
"261",123
"262",123
"263",123
"264",123
"265",123
"266",123
"267",123
"268",124
"269",124
"270",124
"271",124
"272",124
"273",17075
"274",17076
"275",17077
"276",17078
"277",17079
"278",17080
"279",17081
"280",17082
"281",17083
"282",17084
"283",17085
"284",17086
"285",17087
"286",17088
"287",17089
"288",17090
"289",17091
"290",17092
"291",17093
"292",17094
"293",17095
"294",17096
"295",17097
"296",17098
"297",17099
"298",17100
"299",17101
"300",17102
"301",17103
"302",17104
"303",17105
"304",17106
"305",17107
"306",17108
"307",17109
"308",17110
"309",17111
"310",17112
"311",17113
"312",17114
"313",17115
"314",17116
"315",17117
"316",17118
"317",17119
"318",17120
"319",17121
"320",17122
"321",17123
"322",17124
"323",17125
"324",17126
"325",17127
"326",17128
"327",17129
"328",17130
"329",17131
"330",17132
"331",17133
"332",17134
"333",17135
"334",17136
"335",17137
"336",17138
"337",17139
"338",17140
"339",17141
"340",17142
"341",17143
"342",17144
"343",17145
"344",17146
"345",17147
"346",17148
"347",17149
"348",17150
"349",17151
"350",17152
"351",17153
"352",17154
"353",17155
"354",17156
"355",17157
"356",17158
"357",17159
"358",17160
"359",17161
"360",17162
"361",17163
"362",17164
"363",17165
"364",17166
"365",17167
"366",17168
"367",17169
"368",17170
"369",17171
"370",17172
"371",17173
"372",17174
"373",17175
"374",17176
"375",17177
"376",17178
"377",17179
"378",17180
"379",17181
"380",17182
"381",17183
"382",17184
"383",17185
"384",17186
"385",17187
"386",17188
"387",17189
"388",17190
"389",17191
"390",17192
"391",17193
"392",17194
"393",17195
"394",17196
"395",17197
"396",17198
"397",17199
"398",17200
"399",17201
"400",17202
"401",17203
"402",17204
"403",17205
"404",17206
"405",17207
"406",17208
"407",17209
"408",17210
"409",17211
"410",17212
"411",17213
"412",17214
"413",17215
"414",17216
"415",17217
"416",17218
"417",17219
"418",17220
"419",17221
"420",17222
"421",17223
"422",17224
"423",17225
"424",17226
"425",17227
"426",17228
"427",17229
"428",17230
"429",17231
"430",17232
"431",17233
"432",17234
"433",17235
"434",17236
"435",17237
"436",17238
"437",17239
"438",17240
"439",17241
"440",17242
"441",17243
"442",17244
"443",17245
"444",17246
"445",17247
"446",17248
"447",17249
"448",17250
"449",17251
"450",17252
"451",17253
"452",17254
"453",17255
"454",17256
