chid,views,subscriber,videoscount,date
UC6_aLZwre0yxXvhwNw,172248,1127,117,01-10-16
UC6_aLZwre0yxXvhwNw,172324,1127,117,02-10-16
UC6_aLZwre0yxXvhwNw,172406,1127,117,03-10-16
UC6_aLZwre0yxXvhwNw,172526,1129,117,04-10-16
UC6_aLZwre0yxXvhwNw,172619,1129,117,05-10-16
UC6_aLZwre0yxXvhwNw,172726,1131,117,06-10-16
UC6_aLZwre0yxXvhwNw,172808,1131,117,07-10-16
UC6_aLZwre0yxXvhwNw,172862,1131,117,08-10-16
UC6_aLZwre0yxXvhwNw,172925,1131,117,09-10-16
UC6_aLZwre0yxXvhwNw,172985,1134,117,10-10-16
UC6_aLZwre0yxXvhwNw,173064,1135,117,11-10-16
UC6_aLZwre0yxXvhwNw,173135,1135,117,12-10-16
UC6_aLZwre0yxXvhwNw,173135,1136,117,13-10-16
UC6_aLZwre0yxXvhwNw,173306,1136,117,14-10-16
UC6_aLZwre0yxXvhwNw,173387,1136,117,15-10-16
UC6_aLZwre0yxXvhwNw,173445,1135,117,16-10-16
UC6_aLZwre0yxXvhwNw,173486,1136,117,17-10-16
UC6_aLZwre0yxXvhwNw,173573,1135,117,18-10-16
UC6_aLZwre0yxXvhwNw,173656,1136,117,19-10-16
UC6_aLZwre0yxXvhwNw,173746,1136,117,20-10-16
UC6_aLZwre0yxXvhwNw,173746,1136,117,21-10-16
UC6_aLZwre0yxXvhwNw,173890,1138,117,22-10-16
UC6_aLZwre0yxXvhwNw,173946,1138,117,23-10-16
UC6_aLZwre0yxXvhwNw,173946,1138,117,24-10-16
UC6_aLZwre0yxXvhwNw,174077,1140,117,25-10-16
UC6_aLZwre0yxXvhwNw,174163,1141,117,26-10-16
UC6_aLZwre0yxXvhwNw,174246,1142,117,27-10-16
UC6_aLZwre0yxXvhwNw,174322,1141,117,28-10-16
UC6_aLZwre0yxXvhwNw,174386,1141,117,29-10-16
UC6_aLZwre0yxXvhwNw,174444,1143,117,30-10-16
UC6_aLZwre0yxXvhwNw,174540,1143,117,31-10-16
UC6_aLZwre0yxXvhwNw,174617,1141,117,01-11-16
UC6_aLZwre0yxXvhwNw,174697,1144,117,02-11-16
UC6_aLZwre0yxXvhwNw,174750,1144,117,03-11-16
UC6_aLZwre0yxXvhwNw,174824,1144,117,04-11-16
UC6_aLZwre0yxXvhwNw,174824,1144,117,05-11-16
UC6_aLZwre0yxXvhwNw,174979,1144,117,06-11-16
UC6_aLZwre0yxXvhwNw,175064,1144,117,07-11-16
UC6_aLZwre0yxXvhwNw,175140,1144,117,08-11-16
UC6_aLZwre0yxXvhwNw,175207,1144,117,09-11-16
UC6_aLZwre0yxXvhwNw,175273,1146,117,10-11-16
UC6_aLZwre0yxXvhwNw,175332,1146,117,11-11-16
UC6_aLZwre0yxXvhwNw,175413,1149,117,12-11-16
UC6_aLZwre0yxXvhwNw,175466,1148,117,13-11-16
